編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLLLJIMFFFN78CA,32,187.86,見其他登記事項,加強磚造,74年5月25日,一層,一層
RPPNMLPLJIMFFEN98CA,17,200.83,住家用,鋼筋混凝土造,89年10月27日,三層,一層 二層 三層
RPTNMLKLJIMFFHN76EA,37,96.04,工業用,鋼造,69年7月16日,一層,一層
RPTNMLKLJIMFFHN76EA,30,249.54,工業用,鋼造,76年7月15日,一層,一層
RPTNMLKLJIMFFHN76EA,30,120.64,工業用,見其他登記事項,76年6月8日,一層,一層
RPTNMLKLJIMFFHN76EA,30,152.48,工業用,鋼筋混凝土造,77年1月5日,二層,一層 二層 地下層
RPPNMLPLJIMFFHN66CA,5,161.27,住家用,鋼筋混凝土造,101年9月7日,三層,一層 二層 三層 屋頂突出物
RPWNMLKLJIMFFGN86DA,21,339.62,住家用,鋼筋混凝土造,86年5月5日,三層,一層 二層 三層 騎樓
RPSNMLKLJIMFFGN09DA,23,122.36,住家用,鋼筋混凝土造,83年9月8日,三層,一層 二層 三層 騎樓
RPSOMLRLJIMFFHN27CA,2,153.97,見其他登記事項,鋼筋混凝土造,104年6月9日,三層,一層 二層 三層 屋頂突出物
RPQNMLSLJIMFFGN96CA,40,131.28,住家用,見其他登記事項,66年8月11日,三層,一層 二層 三層 騎樓
RPRNMLLLJIMFFFN88CA,,190.67,住宅,鋼筋混凝土造,106年6月21日,三層,一層 二層 三層
RPVOMLKKKIMFFCN98CA,,156.65,見其他登記事項,鋼筋混凝土造,106年5月17日,三層,一層 二層 三層 屋頂突出物
RPWNMLOKKIMFFBN66CA,1,202.42,住家用,鋼筋混凝土造,106年4月14日,四層,一層 二層 三層 四層
RPTNMLQJKIMFFBN09CA,22,133.65,住家用,鋼筋混凝土造,84年7月29日,三層,一層 二層 三層
RPXNMLSLJIMFFAN07CA,27,143.82,住家用,鋼筋混凝土造,79年11月20日,四層,一層 二層 三層 四層
RPTOMLSJKIMFFAN66CA,41,172.20,住商用,鋼筋混凝土造,66年3月8日,三層,一層 二層 三層 騎樓
RPROMLMKKIMFFAN58CA,23,124.26,見其他登記事項,鋼筋混凝土造,83年9月24日,四層,一層 二層 三層 四層
RPVOMLPKKIMFFAN66CA,36,86.87,住家用,加強磚造,70年6月26日,二層,一層 二層
RPXOMLQJKIMFFAN86CA,23,284.60,農舍,鋼造,84年1月14日,二層,一層 二層
RPTOMLOKKIMFFBN09CA,1,186.16,見其他登記事項,鋼筋混凝土造,106年4月14日,四層,一層 二層 三層 四層
RPPOMLOKKIMFFBN68CA,1,186.16,見其他登記事項,鋼筋混凝土造,106年4月14日,四層,一層 二層 三層 四層
RPSOMLOJKIMFFAN78CA,37,78.96,住商用,加強磚造,70年1月21日,二層,一層 二層
RPRNMLNLJIMFFCN78CA,1,186.54,住家用,鋼筋混凝土造,106年2月21日,四層,一層 二層 三層 四層
RPTOMLMLJIMFFAN78CA,27,146.48,住家用,鋼筋混凝土造,79年7月19日,三層,一層 二層 三層
RPQOMLOKKIMFFBN78CA,1,286.95,住家用,鋼筋混凝土造,106年4月14日,四層,一層 二層 三層 四層
RPVNMLOKKIMFFBN56CA,1,186.17,住家用,鋼筋混凝土造,106年4月14日,四層,一層 二層 三層 四層
RPQOMLSLJIMFFAN09CA,20,62.14,住家用,鋼筋混凝土造,87年3月27日,十三層,十三層
RPQOMLSLJIMFFAN09CA,20,15.68,見其他登記事項,鋼筋混凝土造,87年3月27日,十三層,
RPWOMLKKKIMFFCN09CA,,186.61,見其他登記事項,鋼筋混凝土造,106年5月17日,三層,一層 二層 三層 屋頂突出物
RPTNMLOKKIMFFBN98CA,1,202.42,住家用,鋼筋混凝土造,106年4月14日,四層,一層 二層 三層 四層
RPTNMLPKKIMFFCN56CA,2,289.60,見其他登記事項,鋼筋混凝土造,104年5月19日,四層,一層 二層 三層 四層 騎樓
RPTNMLKMJIMFFCN78CA,24,84.58,住家用,鋼筋混凝土造,82年5月22日,七層,七層
RPTNMLKMJIMFFCN78CA,24,42.66,見其他登記事項,鋼筋混凝土造,82年5月22日,七層,
RPSNMLKKKIMFFCN58CA,,183.27,見其他登記事項,鋼筋混凝土造,106年5月17日,三層,一層 二層 三層 屋頂突出物
RPTNMLMLJIMFFDN98CA,1,296.69,見其他登記事項,鋼筋混凝土造,105年10月4日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPWNMLTLJIMFFDN37CA,1,180.81,見其他登記事項,鋼筋混凝土造,106年3月1日,四層,一層 二層 三層 四層
RPTNMLOLJIMFFDN56CA,42,112.18,住家用,加強磚造,65年1月8日,二層,一層 二層
RPSNMLOLJIMFFDN09CA,42,111.30,住家用,加強磚造,65年1月8日,二層,一層 二層
RPVNMLKKKIMFFCN88CA,,183.09,見其他登記事項,鋼筋混凝土造,106年5月17日,三層,一層 二層 三層 屋頂突出物
RPRNMLNLJIMFFFN09CA,42,58.13,住家用,加強磚造,64年7月1日,一層,一層
RPQNMLNJKIMFFDN68CA,32,164.99,住家用,加強磚造,74年8月10日,二層,一層 二層 夾層
RPPNMLNJKIMFFDN58CA,10,148.18,住家用,鋼筋混凝土造,96年11月1日,三層,一層 二層 三層 屋頂突出物
RPOOMLTLJIMFFDN66CA,1,307.53,見其他登記事項,鋼筋混凝土造,106年3月1日,四層,一層 二層 三層 四層 屋頂突出物
RPRNMLRLJIMFFDN66CA,10,23.45,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPRNMLRLJIMFFDN66CA,10,60.14,住家用,鋼筋混凝土造,97年4月3日,七層,二層 機械房
RPRNMLRLJIMFFDN66CA,10,15.47,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPRNMLRLJIMFFDN66CA,10,61.50,住家用,鋼筋混凝土造,97年4月3日,七層,二層 機械房
RPRNMLRLJIMFFDN66CA,10,23.45,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPRNMLRLJIMFFDN66CA,10,15.47,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPQNMLOJKIMFFFN98CA,1,202.55,見其他登記事項,鋼筋混凝土造,105年9月12日,四層,一層 二層 三層 四層 騎樓
RPPNMLNKKIMFFEN78CA,,149.62,住家用,鋼筋混凝土造,106年6月15日,三層,一層 二層 三層 見其他登記事項
RPSNMLPJKIMFFHN86CA,24,197.12,住家用,鋼筋混凝土造,82年9月15日,四層,一層 二層 三層 四層 騎樓
RPSNMLOLJIMFFGN86DA,2,175.00,住家用,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPNMLLKKIMFFCN48DA,25,25.39,見其他登記事項,鋼筋混凝土造,81年12月29日,六層,
RPPNMLLKKIMFFCN48DA,25,76.77,住家用,鋼筋混凝土造,81年12月29日,六層,三層
RPWOMLOLJIMFFGN37DA,2,174.84,住家用,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層 屋頂突出物 騎樓
RPWNMLSLJIMFFHN67CA,,146.17,見其他登記事項,鋼筋混凝土造,106年7月20日,三層,一層 二層 三層 屋頂突出物
RPTNMLNKKIMFFHN86CA,,160.17,見其他登記事項,鋼筋混凝土造,106年6月3日,三層,一層 二層 三層 屋頂突出物
RPPOMLSLJIMFFHN07CA,,73.08,見其他登記事項,鋼筋混凝土造,106年7月20日,三層,一層 二層 三層 屋頂突出物
RPPOMLSLJIMFFHN07CA,,73.08,見其他登記事項,鋼筋混凝土造,106年7月20日,三層,一層 二層 三層 屋頂突出物
RPVNMLNLJIMFFEN76CA,23,18.00,住家用,鋼筋混凝土造,83年7月11日,五層,五層
RPVNMLNLJIMFFEN76CA,23,7.32,共有部份,鋼筋混凝土造,83年7月11日,五層,
RPRNMLLKKIMFFDN68CA,29,225.00,農舍,見其他登記事項,77年7月8日,一層,一層
RPSNMLSJKIMFFDN76CA,,209.51,見其他登記事項,鋼筋混凝土造,106年6月7日,四層,一層 二層 三層 四層
RPQNMLMKKIMFFCN58CA,,183.89,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPQOMLTLJIMFFDN86CA,2,350.55,見其他登記事項,鋼筋混凝土造,104年12月8日,五層,一層 二層 三層 四層 五層
RPPOMLTLJIMFFDN76CA,2,366.87,見其他登記事項,鋼筋混凝土造,104年12月8日,五層,一層 二層 三層 四層 五層
RPRNMLKKKIMFFCN48CA,,162.86,見其他登記事項,鋼筋混凝土造,106年5月17日,三層,一層 二層 三層 屋頂突出物
