鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
北區,車位,臺中市北區進化北路301~330號,0.25,商,,,1061118,土地0建物0車位1,,,其他,,,,15.94,0,0,0,有,有,無,1800,,坡道機械,15.94,1800,,RPQPMLRLJIMFFBB18CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,5.7,商,,,1061118,土地2建物1車位0,十八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,66.37,0,0,0,無,有,有,15000,226,,0.0,0,,RPRPMLRLJIMFFBB28CC
北區,車位,臺中市北區進化北路301~330號,0.25,商,,,1061117,土地0建物0車位1,,,其他,,,,15.94,0,0,0,有,有,無,2000,,坡道機械,15.94,2000,,RPTPMLRLJIMFFBB48CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,5.34,商,,,1061116,土地2建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,67.62,0,0,0,無,有,有,14000,207,,0.0,0,,RPUPMLRLJIMFFBB58CC
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段271~300號,10.29,商,,,1061119,土地1建物1車位1,十三層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,112.97,2,1,2,有,有,有,24000,212,坡道機械,13.62,0,,RPWPMLRLJIMFFBB78CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段271~300號,5.84,商,,,1061119,土地1建物1車位0,十九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,63.43000000000001,0,0,0,無,有,有,17500,276,,0.0,0,,RPXPMLRLJIMFFBB88CC
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~30號,8.49,住,,,1061027,土地1建物1車位1,十九層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,86.55,2,1,1,有,有,有,26000,300,坡道平面,37.8,0,26000含管理費,RPQPMLRLJIMFFCB28CC
西屯區,房地(土地+建物),臺中市西屯區西屯路二段241~270號,6.51,商,,,1061107,土地1建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990201,70.88,0,0,0,無,有,有,16500,233,,0.0,0,,RPQRMLRLJIMFFCB48CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,4.95,商,,,1061106,土地1建物1車位0,二十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,55.0,0,0,0,無,有,有,17000,309,,0.0,0,租金含管理費,RPSRMLRLJIMFFCB68CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段1~30號,6.24,商,,,1061109,土地1建物1車位0,十層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,61.55,0,0,0,無,有,有,15000,244,,0.0,0,,RPTRMLRLJIMFFCB78CC
南屯區,房地(土地+建物),臺中市南屯區永春路31~60號,864.5,住,,,1061103,土地1建物2車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,見其他登記事項,1050808,718.12,0,0,0,無,無,無,210000,292,,0.0,0,調幅:第1~6年7,000元，第7~8年1萬元。,RPQOMLSLJIMFFCB28CC
西屯區,房地(土地+建物),臺中市西屯區文心路三段151~180號,1096.0,工,,,1061124,土地2建物1車位0,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,0761203,753.11,0,0,0,無,無,有,355074,471,,0.0,0,106/10/8~109/12/7月租金355,074元,109/12/8~112/12/7月租金408,335元。,RPRSMLSLJIMFFCB78CC
南屯區,房地(土地+建物),臺中市南屯區南屯路二段181~210號,22.64,住,,,1061031,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0811104,105.23,3,2,2,有,有,無,16000,152,,0.0,0,,RPTSMLSLJIMFFCB98CC
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段481~510號,25.6,商,,,1061119,土地1建物2車位2,一層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040423,287.87,0,0,0,無,有,無,80000,278,坡道平面,0.0,0,,RPROMLSLJIMFFBB28CC
北屯區,房地(土地+建物),臺中市北屯區東光路841~870號,32.51,住,,,1061119,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0810918,156.78,4,2,2,有,有,有,16500,105,,0.0,0,,RPSOMLSLJIMFFBB38CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段481~510號,9.71,住,,,1061120,土地1建物1車位0,十六層,22,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040423,128.07,3,2,2,有,有,有,34000,265,,0.0,0,,RPTPMLSLJIMFFBB58CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.72,商,,,1061120,土地1建物1車位0,九層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,28.480000000000004,1,0,1,有,有,有,5500,193,,0.0,0,,RPPOMLSLJIMFFAB97CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.85,商,,,1061111,土地1建物1車位0,五層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,30.64,1,0,1,有,有,有,5300,173,,0.0,0,,RPROMLSLJIMFFAB18CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.77,商,,,1061125,土地1建物1車位0,五層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,29.38,1,0,1,有,有,有,6000,204,,0.0,0,,RPSOMLSLJIMFFAB28CC
西區,建物,臺中市西區模範街8巷1~30號,130.0,,,,1061031,土地0建物1車位0,全,1,透天厝,住家用,木造,,49.59,0,0,0,無,無,有,60000,1210,,0.0,0,,RPTNMLTLJIMFFAB38CC
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段1351~1380號,16.15,住,,,1061101,土地1建物1車位1,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041228,99.09,0,0,0,無,無,無,16000,161,坡道平面,25.81,0,租賃範圍不含夾層,RPPQMLTLJIMFFBB38CC
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明東街391~420號,75.9,住,,,1061021,土地1建物1車位1,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0840817,241.24,5,2,3,有,有,無,29000,120,坡道機械,0.0,0,,RPOOMLTLJIMFFCB18CC
西屯區,房地(土地+建物)+車位,臺中市西屯區福安路55巷1~30號,8.8,住,,,1061115,土地1建物1車位1,十四層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861023,112.3,1,1,1,有,有,有,17000,151,坡道平面,0.0,0,,RPQOMLTLJIMFFCB38CC
北屯區,房地(土地+建物),臺中市北屯區僑孝街151~180號,21.15,住,,,1061106,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821224,106.5,3,2,2,有,有,有,13000,122,,0.0,0,,RPOPMLTLJIMFFBB28DC
大雅區,土地,三和段661~690地號,1051.0,工,,,1061103,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,205000,195,,0.0,0,承租地上含增建或未登記建物面積約691.44平方公尺(約209.16坪)。,RPTNMLTLJIMFFHB09CC
大雅區,房地(土地+建物),臺中市大雅區神林南路539巷1~30號,99.0,住,,,1061116,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0841017,235.41,5,2,3,有,無,無,20000,85,,0.0,0,,RPXNMLKMJIMFFHB68CC
西屯區,建物,臺中市西屯區市政南一路1~30號,0.0,住,,,1061116,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0841214,312.0,3,2,4,有,有,無,30000,96,,0.0,0,,RPQNMLKMJIMFFCB47CC
西屯區,房地(土地+建物)+車位,臺中市西屯區至善路38巷31~60號,10.02,商,,,1061104,土地2建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980121,96.78,2,2,1,有,有,有,20000,207,坡道機械,18.91,0,租金含管理費。,RPQPMLKMJIMFFCB67CC
西屯區,房地(土地+建物),臺中市西屯區西屯路二段241~270號,3.57,商,,,1061105,土地1建物1車位0,三層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0990201,73.69,1,1,1,有,有,有,16000,217,,0.0,0,,RPTPMLKMJIMFFCB97CC
北屯區,房地(土地+建物),臺中市北屯區太原路三段751~780號,430.0,商,,,1061101,土地1建物1車位0,一層,1,其他,住家用,加強磚造,0701231,288.8,0,0,0,無,無,無,30000,104,,0.0,0,租用無建號之地上物含增建或未登記建物。,RPQNMLKMJIMFFBB37CC
西區,建物,臺中市西區建國路61~90號,0.0,商,,,1061113,土地0建物0車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0660622,108.36,0,0,0,無,有,無,28000,258,,0.0,0,,RPPNMLKMJIMFFAB17CC
